id,name_short,name,sex,religion,birth,education,position,kids,subject,party,twitter,youtube,facebook,type
fb,Brantner,Franziska Brantner,1,,1979,2,2,1,1,Grüne,14.037,26,2.747,1
bs,Strasser,Benjamin Strasser,2,2,1987,3,2,,2,FDP,5811,287,3372,1
jb,Brandenburg,Jens Brandenburg,2,,1986,2,2,,3,FDP,5406,,,1
ck,Kuehn,Christian Kuehn,2,1,1979,4,2,3,1,Grüne,4786,35,97,1
co,Oezdemir,Cem Oezdemir,2,,1965,1,1,2,3,Grüne,317191,,162573,1
ft,Toncar,Florian Toncar,2,1,1979,2,2,3,2,FDP,8587,99,4478,1
mt,Theurer,Michael Theurer,2,1,1967,1,2,2,4,FDP,8477,,27913,1
tl,Lindner,Tobias Lindner,2,,1982,2,1,,4,Grüne,10500,,4920,1
rs,Schwarzeluehr-Sutter,Rita Schwarzeluehr-Sutter,1,2,1962,1,2,2,4,SPD,4250,,2941,1
afwe,,Ausschuss für Wirtschaft und Energie,,,,,,,,,,,,0
lg,,Landesvorstand der Gruenen,,,,,,,,,,,,0
eha,,Europaeischer Haushaltsausschuss,,,,,,,,,,,,0
juli,,Junge Liberale,,,,,,,,,,,,0
bfdp,,Bundesvorstand der FDP,,,,,,,,,,,,0
epfa,,EU-Parlament der Fraktion Grüne/EFA,,,,,,,,,,,,0
lfdp,,Landesvorstand der FDP,,,,,,,,,,,,0
afsj,,"Ausschuss fuer Familien, Senioren, Frauen und Jugend",,,,,,,,,,,,0
aag,,Ausschuss für auswaertige Angelegenheiten,,,,,,,,,,,,0
um,,Universität Mannheim,,,,,,,,,,,,0
ut,,Universität Tuebingen,,,,,,,,,,,,0
ths,,Theodor-Heuss-Stiftung,,,,,,,,,,,,0
sep,,Smart Energy for Europe Platform GmbH,,,,,,,,,,,,0
eu,,Europa-Union,,,,,,,,,,,,0
hbs,,Heinrich-Boell-Stiftung,,,,,,,,,,,,0
kw,,Kreditanstalt fuer Wiederaufbau,,,,,,,,,,,,0
gssf,,Gesellschaft zum Studium strukturpolitischer Fragen,,,,,,,,,,,,0
fdpbt,,FDP-Bundestagsfraktion,,,,,,,,,,,,0
ha,,Haushaltsausschuss,,,,,,,,,,,,0
aa,,Auswaertiger Ausschuss,,,,,,,,,,,,0
ua,,Untersuchungsausschuss,,,,,,,,,,,,0
gsf,,Gesellschaft zum Studium strukturpolitischer Fragen,,,,,,,,,,,,0
bum,,Bundesumweltsministerium,,,,,,,,,,,,
av,,Ausschuss fuer Verkehr und digitale Infrastruktur,,,,,,,,,,,,
